Date,Time,UserPhone,UserName,MessageBody
%2019-01-02,%08:03:23,%6188888770478643302,%EMT VALÈNCIA,%e2e_notification%
ESTIMACION
%2019-01-01,%18:32:51,%9031839416997219539,%Ladybugbabybutterfly🐛🦋💜💪🏼👑,%Hola buenas tardes%
%2019-01-01,%18:33:05,%9031839416997219539,%Ladybugbabybutterfly🐛🦋💜💪🏼👑,%Estoy detrás de la plaza de toros y voy a coger el 8%
%2019-01-01,%18:33:11,%9031839416997219539,%Ladybugbabybutterfly🐛🦋💜💪🏼👑,%A qué hora pasa?%
%2019-01-02,%08:06:44,%6188888770478643302,%EMT VALÈNCIA,%Buenos días, recuerda que nuestro horario de Atención al Cliente por WhatsApp es de Lunes a Viernes (laborables) de 8 a 21 horas y Sábados de 9 a 14 horas. Si sigues teniendo duda vuelve a contactar con nosotros.%
