Date,Time,UserPhone,UserName,MessageBody
%2019-02-18,%%12:59:42%,%3916658067753117573,%%EMT VALÈNCIA%,%%e2e_notification%%%
CONSULTA
%2019-02-18,%%12:59:42%,%5338384408994188512,%%Valeriano%,%%Hola buenas! La semana pasada escuche en RK o otro medio (no estoy seguro) que se abria bola de emt. Que me podéis decir al respecto (como candidato a conductor). Gracias.%%%
%2019-02-18,%%13:08:39%,%3916658067753117573,%%EMT VALÈNCIA%,%%Hola, toda la información con respecto ofertas de empleo se publica en nuestra página web www.emtvalencia.es en el apartado \%%%%Última hora\%%%% y  \%%%%Oferta de empleo\%%%%. Saludos%%%
%2019-02-18,%%13:40:16%,%5338384408994188512,%%Valeriano%,%%Gracias.%%%
