Date,Time,UserPhone,UserName,MessageBody
%2019-04-04,%20:03:19,%6188888770478643302,%EMT VALÈNCIA,%e2e_notification%
RUTAS
%2019-04-04,%20:03:17,%7559073359076077051,%Juan Carlos,%Buenas tardes por favor te las 21 30%
%2019-04-04,%20:04:06,%7559073359076077051,%Juan Carlos,%De la línea 93%
%2019-04-04,%20:05:25,%6188888770478643302,%EMT VALÈNCIA,%Hola, puedes concretar tu consulta?%
%2019-04-04,%20:06:17,%7559073359076077051,%Juan Carlos,%De la avenida del cib%
%2019-04-04,%20:07:39,%6188888770478643302,%EMT VALÈNCIA,%La línea 93 tiene sale de Avda. Cid a las 21:32 y 21:46 horas. Saludos.%
%2019-04-04,%20:08:35,%7559073359076077051,%Juan Carlos,%Gracias%
%2019-04-04,%20:08:48,%6188888770478643302,%EMT VALÈNCIA,%Gracias a ti!%
