Date,Time,UserPhone,UserName,MessageBody
%2019-04-01,%07:55:56,%6188888770478643302,%EMT VALÈNCIA,%e2e_notification%
RECLAMACION
%2019-03-30,%16:47:15,%2130381994348893232,%Manuel 🐶🐶🐶🐱🤙🏽,%Me parece una vergüenza que no dispongas de cambio de 10€ y me toque ir andando a trabajar. Un sábado a las 16.45h. el número 28 (5146)%
%2019-03-30,%16:47:28,%2130381994348893232,%Manuel 🐶🐶🐶🐱🤙🏽,%Dispongais*%
%2019-04-01,%08:07:18,%6188888770478643302,%EMT VALÈNCIA,%Buenos días, recuerda que nuestro horario de Atención al Cliente por WhatsApp es de Lunes a Viernes (laborables) de 8 a 21 horas y Sábados de 9 a 14 horas. Si sigues teniendo duda vuelve a contactar con nosotros.%
