Date,Time,UserPhone,UserName,MessageBody
%2019-01-28,%%07:52:39%,%3916658067753117573,%%EMT VALÈNCIA%,%%e2e_notification%%%
ESTIMACION
%2019-01-27,%%12:22:01%,%7781026658533022728,%%Amarotango.Comunica%,%%Buon.Giorno\nEmt \n\nlínea 70 / parada calle san vicente / junto sala indiana // hoy ahora pasa\n\ngrazie%%%
%2019-01-28,%%08:01:53%,%3916658067753117573,%%EMT VALÈNCIA%,%%Buenos días, recuerda que nuestro horario de Atención al Cliente por WhatsApp es de Lunes a Viernes (laborables) de 8 a 21 horas y Sábados de 9 a 14 horas. Si sigues teniendo duda vuelve a contactar con nosotros.%%%
%2019-02-18,%%11:47:33%,%7781026658533022728,%%Amarotango.Comunica%,%%amarotango.comunica //  www.instagram.com/amarotango.comunica  +  www.facebook.com/amarotango.comunica  // Agenzia Stampa Eventi%%%
