Date,Time,UserPhone,UserName,MessageBody
%2019-03-22,%13:40:19,%6188888770478643302,%EMT VALÈNCIA,%e2e_notification%
RUTAS
%2019-03-22,%13:40:19,%8450590255803601469,%Mikel,%Bon dia, volia saber quina linea he d'agafar per anar des de la UPV a l'Edtació del Nord%
%2019-03-22,%13:41:30,%6188888770478643302,%EMT VALÈNCIA,%Buenos días, tienes que coger la línea 40 en Ramón Llull. Un saludo%
%2019-03-22,%13:42:17,%8450590255803601469,%Mikel,%Moltes gracies%
%2019-03-22,%13:46:36,%6188888770478643302,%EMT VALÈNCIA,%Feliz día!%
