Date,Time,UserPhone,UserName,MessageBody
%2019-03-25,%08:00:08,%6188888770478643302,%EMT VALÈNCIA,%e2e_notification%
RUTAS
%2019-03-23,%20:42:42,%8944439457849571973,%Marleny,%Buenas noche disculpe la pregunta estoy en alfafar quiero ir a la estación de autobús que línea debo tomar%
%2019-03-23,%21:53:06,%8944439457849571973,%Marleny,%Para ir a la estación de bus%
%2019-03-25,%08:05:17,%6188888770478643302,%EMT VALÈNCIA,%Buenos días, recuerda que nuestro horario de Atención al Cliente por WhatsApp es de Lunes a Viernes (laborables) de 8 a 21 horas y Sábados de 9 a 14 horas. Si sigues teniendo duda vuelve a contactar con nosotros.%
%2019-03-25,%10:15:11,%8944439457849571973,%Marleny,%Gracias y perdone no sabia su horario de atención%
