Date,Time,UserPhone,UserName,MessageBody
%2019-01-26,%%10:17:18%,%3916658067753117573,%%EMT VALÈNCIA%,%%e2e_notification%%%
ESTIMACION
%2019-01-26,%%10:17:18%,%4233398853572185497,%%Jeni 🌸%,%%Hola!%%%
%2019-01-26,%%10:17:31%,%4233398853572185497,%%Jeni 🌸%,%%Estoy en la 1695%%%
%2019-01-26,%%10:17:39%,%4233398853572185497,%%Jeni 🌸%,%%Cuánto le queda al 90?%%%
%2019-01-26,%%10:18:10%,%3916658067753117573,%%EMT VALÈNCIA%,%%Hola, el próxim obus pasa en 6 minutos. Saludos.%%%
%2019-01-26,%%10:18:19%,%4233398853572185497,%%Jeni 🌸%,%%Muchas gracias%%%
%2019-01-26,%%10:26:02%,%3916658067753117573,%%EMT VALÈNCIA%,%%Gracias a ti, feliz finde!%%%
