Date,Time,UserPhone,UserName,MessageBody
%2019-03-28,%10:10:26,%6188888770478643302,%EMT VALÈNCIA,%e2e_notification%
RUTAS
%2019-04-01,%08:28:14,%8468112013441565726,%Marian,%Hola buenos días.\nCual es la mejor combinación para ir a Amadeo de Saboya desde la calle Lérida?\nGracias.%
%2019-04-01,%08:46:33,%6188888770478643302,%EMT VALÈNCIA,%Buenos días, puedes coger la línea 80 en Pla de la Saïdia (riu) - Constitució hasta Aragó - Finlàndia. Feliz día!%
%2019-04-01,%08:47:02,%8468112013441565726,%Marian,%👍🏼%
%2019-04-01,%08:47:08,%8468112013441565726,%Marian,%Gracias%
