Date,Time,UserPhone,UserName,MessageBody
%2019-04-05,%13:44:56,%6188888770478643302,%EMT VALÈNCIA,%e2e_notification%
RUTAS
%2019-04-05,%13:44:54,%8958903983599487131,%Salva,%Buenas que numero es la parada que está al lado del campo del Levante en la avenida alfahuir cual es?%
%2019-04-05,%13:45:04,%8958903983599487131,%Salva,%Que te deja en el centro%
%2019-04-05,%13:47:46,%6188888770478643302,%EMT VALÈNCIA,%Buenos días, es la línea 70. Un saludo%
%2019-04-05,%13:49:08,%8958903983599487131,%Salva,%Y el número de parada?%
%2019-04-05,%13:50:27,%6188888770478643302,%EMT VALÈNCIA,%1961 o 1990, depende por que calle salgas a la Av Alfahuir%
%2019-04-05,%13:52:55,%8958903983599487131,%Salva,%Y para ir al campo del Levante también en 70 no?%
%2019-04-05,%14:00:07,%6188888770478643302,%EMT VALÈNCIA,%Si, si quieres que te deje en Alfahuir. La línea 12 te deja en Duque de Mandas. Un saludfo%
