Date,Time,UserPhone,UserName,MessageBody
%2019-04-12,%12:33:29,%6188888770478643302,%EMT VALÈNCIA,%e2e_notification%
RUTAS
%2019-04-12,%12:33:27,%8257245228399952935,%ALEJANDRO,%Buenos días. Deseo ir desde la Patacona al Hospital Arnau de Vilanova%
%2019-04-12,%12:34:02,%8257245228399952935,%ALEJANDRO,%Cojo linea 31, ¿Desde bajo y cojo otro?%
%2019-04-12,%12:34:37,%6188888770478643302,%EMT VALÈNCIA,%Hola, puedes coger la línea 31 para enlazar con la línea 99 en dirección de Palacio de Congresos en Estación Cabanyal.%
%2019-04-12,%12:34:52,%8257245228399952935,%ALEJANDRO,%Muchas gracias%
%2019-04-12,%12:35:52,%6188888770478643302,%EMT VALÈNCIA,%Con la línea 99 tienes que bajar en la parada Av Cortes Valencianas-La Safor. Saludos!%
%2019-04-12,%13:33:00,%8257245228399952935,%ALEJANDRO,%Ok%
