Date,Time,UserPhone,UserName,MessageBody
%2019-03-27,%19:18:44,%6188888770478643302,%EMT VALÈNCIA,%e2e_notification%
CONSULTA
%2019-03-27,%19:18:43,%6658686981162324349,%Fabiola,%Buenas tardes%
%2019-03-27,%19:19:15,%6658686981162324349,%Fabiola,%Me gustaría saber si puedo viajar con mi perro cachorrito en el autobús%
%2019-03-27,%19:19:17,%6658686981162324349,%Fabiola,%???%
%2019-03-27,%19:20:08,%6188888770478643302,%EMT VALÈNCIA,%Hola, actualmente no está permitido el acceso de animales salvo los perros guía y de asistencia identificados que acompañen a discapacitados, debidamente acreditados por la Generalitat Valenciana y la propia EMT.   En cuanto al nuevo Reglamento de EMT, que todavía no está en vigor, indicarle que llegado el momento, las mascotas deberán ir en un transportín de una dimensiones determinadas y provistos  de un carnet; así como no suponer un peligro o molestia para el resto de usuarios. En este sentido, siempre prevalecerá el humano. Un saludo.%
%2019-03-27,%19:21:38,%6658686981162324349,%Fabiola,%Muchas gracias%
%2019-03-27,%19:22:26,%6658686981162324349,%Fabiola,%Que maravilla que nos empecenos a igualar con países como inglaterra entre otros que conviven en paz con los canes%
%2019-03-27,%19:22:32,%6658686981162324349,%Fabiola,%😁%
