Date,Time,UserPhone,UserName,MessageBody
%2019-03-25,%10:32:57,%6188888770478643302,%EMT VALÈNCIA,%e2e_notification%
RUTAS
%2019-03-25,%10:32:57,%7458864536821185272,%Celia,%Hola%
%2019-03-25,%10:33:06,%7458864536821185272,%Celia,%Un bus de torres de serrano a Calipso tatto?%
%2019-03-25,%10:33:53,%6188888770478643302,%EMT VALÈNCIA,%Hola, puedes concretar la dirección d a dónde quieres ir?%
%2019-03-25,%10:36:06,%7458864536821185272,%Celia,%Bajo 46019 avinguda de la constitucio, 180%
%2019-03-25,%10:38:07,%6188888770478643302,%EMT VALÈNCIA,%Puedes coger la línea 16 en Cronista Rivelles- Santa Amalia y bajas en Constitució- Reig Genovés. Saludos.%
%2019-03-25,%10:38:22,%7458864536821185272,%Celia,%Gracias!%
