Date,Time,UserPhone,UserName,MessageBody
%2019-03-25,%09:17:33,%6188888770478643302,%EMT VALÈNCIA,%e2e_notification%
RUTAS
%2019-03-25,%09:17:31,%6049736077056693809,%Laura😄,%Buenos dias me gustaria saber si la linea 32 para en la plaza de tetuan gracias%
%2019-03-25,%09:18:42,%6188888770478643302,%EMT VALÈNCIA,%Hola, sí, tiene parada en Tetuan. Saludos.%
%2019-03-25,%09:19:26,%6049736077056693809,%Laura😄,%Gracias que pasaes un buen dia%
%2019-03-25,%09:19:38,%6049736077056693809,%Laura😄,%💝💝💝👍%
%2019-03-25,%09:20:01,%6188888770478643302,%EMT VALÈNCIA,%Gracias, igualmente!%
