Date,Time,UserPhone,UserName,MessageBody
%2019-03-25,%08:00:15,%6188888770478643302,%EMT VALÈNCIA,%e2e_notification%
RUTAS
%2019-03-24,%06:59:59,%3744853908045487007,%Tere,%Buenos días desde Malvarrosa que línea tengo que coger para ir a Alameda 12%
%2019-03-25,%08:05:29,%6188888770478643302,%EMT VALÈNCIA,%Buenos días, recuerda que nuestro horario de Atención al Cliente por WhatsApp es de Lunes a Viernes (laborables) de 8 a 21 horas y Sábados de 9 a 14 horas. Si sigues teniendo duda vuelve a contactar con nosotros.%
%2019-03-25,%09:22:30,%3744853908045487007,%Tere,%👍🏼%
