Date,Time,UserPhone,UserName,MessageBody
%2019-01-15,%%09:28:10%,%3916658067753117573,%%EMT VALÈNCIA%,%%e2e_notification%%%
ESTIMACION
%%%2019-01-15%,%%09:28:09%,%8032545995731637685,%%Sonia 🌺%,%%Hola ha qué hora va a pasar el próximo 63 por Vicente Andrés estellés/facultades?%%%
%2019-01-15,%%09:29:15%,%3916658067753117573,%%EMT VALÈNCIA%,%%Faltan 3 minutos. Saludos%%%
%2019-01-15,%%09:29:56%,%8032545995731637685,%%Sonia 🌺%,%%Gracias%%%
%2019-02-08,%%09:16:24%,%8032545995731637685,%%Sonia 🌺%,%%Hola el próximo autobús del 63 ha que hora pasa por Vicente Andrés estellés?%%%
%2019-02-08,%%09:17:07%,%3916658067753117573,%%EMT VALÈNCIA%,%%Hola, pasa un bus en 15 minutos. Saludos!%%%
%2019-02-12,%%12:33:43%,%8032545995731637685,%%Sonia 🌺%,%%Hola! El próximo 63 ha qué hora pasa por la parada estación nort?%%%
%2019-02-12,%%12:39:27%,%3916658067753117573,%%EMT VALÈNCIA%,%%Buenos días, el próximo pasa dentro de 16 minutos y el siguiente en 39 minutos%%%
